file,chunk_id,slice_id,band_id,detection_prob,dm_pc_cm-3,t_sec,t_sample,x1,y1,x2,y2,snr,width_ms,class_prob,is_burst,patch_file
2017-04-03-08_16_13_0006.fits,0,6,0,0.765,0.00,3.180544,89,178,0,195,16,7.92,4.096,1.000,burst,patch_slice6_band0.png
2017-04-03-08_16_13_0006.fits,0,13,0,0.608,0.00,6.977536,235,485,0,502,16,6.24,12.288,1.000,burst,patch_slice13_band0.png
2017-04-03-08_16_13_0006.fits,0,21,0,0.852,0.00,10.881024,189,388,0,405,16,8.97,6.144,1.000,burst,patch_slice21_band0.png
2017-04-03-08_16_13_0006.fits,0,21,0,0.663,0.00,10.856448,177,363,0,380,16,8.94,6.144,1.000,burst,patch_slice21_band0.png
2017-04-03-08_16_13_0006.fits,0,36,0,0.990,0.00,18.290688,147,300,0,317,16,11.24,6.144,1.000,burst,patch_slice36_band0.png
2017-04-03-08_16_13_0006.fits,0,36,0,0.570,0.00,18.274304,139,283,0,300,16,11.31,6.144,1.000,burst,patch_slice36_band0.png
2017-04-03-08_16_13_0006.fits,0,51,0,0.893,0.00,25.829376,168,344,0,361,16,10.47,6.144,1.000,burst,patch_slice51_band0.png
2017-04-03-08_16_13_0006.fits,0,51,0,0.525,0.00,25.819136,163,334,0,350,16,10.45,6.144,1.000,burst,patch_slice51_band0.png
2017-04-03-08_16_13_0006.fits,0,51,0,0.616,0.00,25.935872,220,453,0,470,16,10.37,6.144,1.000,burst,patch_slice51_band0.png
2017-04-03-08_16_13_0006.fits,0,97,0,0.760,0.00,48.500736,26,46,0,63,16,7.43,6.144,1.000,burst,patch_slice97_band0.png
